depth	d18O	dD
0.156	-27.29	
0.311	-28.81	
0.467	-28.27	
0.623	-28.19	
0.778	-27.42	
0.934	-29.94	
1.089	-27.47	
1.245	-23.36	
1.395	-24.42	
1.545	-24.53	
1.695	-26.97	
1.845	-29.63	
1.994	-30.44	
2.144	-29.14	
2.294	-28.65	
2.444	-30.22	
2.589	-27.43	
2.733	-23.80	
2.877	-23.44	
3.022	-26.70	
3.166	-28.46	
3.311	-28.00	
3.455	-29.63	
3.600	-28.44	
3.739	-27.01	
3.879	-22.82	
4.018	-23.82	
4.157	-23.36	
4.297	-25.07	
4.436	-27.56	
4.576	-28.69	
4.715	-30.33	
4.850	-31.77	
4.984	-31.71	
5.119	-26.11	
5.254	-23.76	
5.389	-27.56	
5.523	-26.56	
5.658	-27.36	
5.793	-27.24	
5.923	-30.57	
6.053	-30.79	
6.183	-28.93	
6.314	-29.11	
6.444	-25.80	
6.574	-25.70	
6.705	-26.16	
6.835	-27.23	
6.961	-29.53	
7.087	-32.14	
7.213	-31.20	
7.339	-28.29	
7.466	-25.39	
7.592	-25.10	
7.718	-27.31	
7.844	-28.98	
7.966	-31.20	
8.089	-27.69	
8.211	-25.49	
8.333	-26.29	
8.456	-28.50	
8.578	-32.89	
8.700	-31.07	
8.822	-27.07	
8.941	-25.82	
9.060	-25.43	
9.178	-28.21	
9.297	-29.69	
9.416	-27.40	
9.535	-27.28	
9.653	-28.23	
9.772	-28.11	
9.887	-26.91	
10.002	-27.88	
10.118	-30.12	
10.233	-32.01	
10.348	-26.89	
10.464	-23.66	
10.579	-26.31	
10.694	-26.17	
10.807	-24.81	
10.920	-26.29	
11.032	-25.24	
11.145	-25.66	
11.258	-25.66	
11.371	-27.02	
11.483	-27.10	
11.596	-27.23	
11.707	-28.12	
11.818	-28.76	
11.930	-26.56	
12.041	-25.41	
12.152	-27.28	
12.264	-28.83	
12.375	-29.68	
12.486	-28.79	
12.597	-28.92	
12.707	-28.56	
12.817	-24.71	
12.928	-23.10	
13.038	-28.21	
13.149	-35.34	
13.259	-30.40	
13.369	-27.50	
13.479	-27.02	
13.589	-27.58	
13.698	-29.80	
13.808	-31.11	
13.917	-28.83	
14.027	-29.07	
14.137	-31.46	
14.246	-28.30	
14.355	-23.11	
14.464	-25.00	
14.572	-27.26	
14.681	-27.84	
14.790	-27.06	
14.899	-28.17	
15.007	-27.57	
15.116	-21.22	
15.224	-25.54	
15.332	-28.81	
15.440	-30.30	
15.548	-29.98	
15.656	-28.33	
15.764	-26.03	
15.872	-24.68	
15.980	-24.51	
16.087	-25.51	
16.194	-26.35	
16.301	-26.59	
16.408	-27.02	
16.515	-27.26	
16.623	-28.51	
16.730	-30.19	
16.837	-28.67	
16.943	-25.28	
17.050	-24.22	
17.156	-26.72	
17.262	-26.52	
17.369	-26.33	
17.475	-27.17	
17.582	-27.76	
17.688	-27.16	
17.794	-26.41	
17.899	-25.51	
18.005	-28.32	
18.110	-30.40	
18.216	-29.16	
18.322	-27.34	
18.427	-25.45	
18.533	-25.46	
18.638	-24.21	
18.742	-24.43	
18.847	-26.37	
18.952	-27.70	
19.057	-28.40	
19.162	-28.18	
19.267	-26.82	
19.372	-24.57	
19.476	-23.21	
19.580	-22.30	
19.684	-22.74	
19.788	-23.88	
19.892	-24.66	
19.996	-26.03	
20.100	-28.21	
20.205	-29.68	
20.308	-28.62	
20.411	-23.98	
20.515	-21.51	
20.618	-23.35	
20.722	-24.56	
20.825	-24.33	
20.928	-25.77	
21.032	-28.33	
21.134	-29.75	
21.237	-29.66	
21.340	-28.76	
21.442	-28.04	
21.545	-26.84	
21.648	-25.29	
21.751	-24.44	
21.853	-25.57	
21.955	-27.33	
22.057	-28.14	
22.159	-28.56	
22.261	-28.74	
22.363	-27.25	
22.465	-25.60	
22.567	-24.45	
22.669	-24.12	
22.770	-28.56	
22.872	-29.22	
22.973	-28.36	
23.074	-30.08	
23.176	-30.16	
23.277	-28.41	
23.378	-27.34	
23.479	-26.57	
23.580	-26.72	
23.681	-28.86	
23.781	-30.07	
23.882	-29.09	
23.983	-27.96	
24.083	-26.76	
24.184	-26.15	
24.285	-23.83	
24.385	-22.71	
24.484	-24.71	
24.584	-27.70	
24.684	-29.86	
24.784	-29.88	
24.884	-28.51	
24.984	-26.28	
25.084	-23.46	
25.184	-23.30	
25.283	-26.41	
25.382	-27.00	
25.482	-26.27	
25.581	-25.72	
25.680	-27.47	
25.780	-28.86	
25.879	-27.36	
25.978	-24.86	
26.076	-24.21	
26.175	-27.13	
26.274	-28.33	
26.372	-27.71	
26.471	-26.25	
26.570	-25.37	
26.668	-24.35	
26.766	-24.68	
26.864	-27.06	
26.963	-29.06	
27.061	-30.48	
27.159	-30.04	
27.257	-27.70	
27.355	-25.32	
27.453	-24.33	
27.550	-25.63	
27.648	-27.14	
27.745	-30.38	
27.843	-29.68	
27.940	-29.15	
28.038	-28.55	
