station-number	year	SST	T
983	1922	6.78	4.23
983	1923	6.72	4.13
983	1924	7.38	4.46
983	1925	6.76	4.26
983	1926	6.98	4.96
983	1927	7.51	5.11
983	1928	7.78	5.71
983	1929	7.68	5.60
983	1930	7.63	4.48
983	1931	7.59	4.91
983	1932	7.76	5.65
983	1933	7.79	5.88
983	1934	7.68	5.25
983	1935	7.56	4.94
983	1936	7.56	4.84
983	1937	7.11	4.83
983	1938	7.31	4.98
983	1939	7.75	5.99
983	1940	7.23	4.96
983	1941	8.03	5.84
983	1942	7.66	5.24
983	1943	7.41	4.75
983	1944	7.43	4.76
983	1945	7.72	5.56
983	1946	8.19	5.94
983	1947	7.69	4.94
983	1948	7.43	5.20
983	1949	6.98	4.20
983	1950	7.51	4.85
983	1951	7.28	4.16
983	1952	7.04	4.63
983	1953	7.60	5.52
983	1954	7.73	4.95
983	1955	7.54	4.40
983	1956	8.08	5.39
983	1957	7.36	5.19
983	1958	7.29	5.25
983	1959	7.82	5.07
983	1960	8.12	5.82
983	1969	7.03	4.17
983	1970	7.09	4.29
983	1971	7.16	4.81
983	1972	7.38	5.32
983	1973	6.88	4.45
983	1974	7.68	5.37
983	1975	7.44	4.58
983	1976	7.09	4.85
983	1977	7.27	4.67
983	1978	7.46	4.78
983	1979	6.83	3.45
983	1980	7.36	4.79
983	1981	6.80	3.81
983	1982	7.24	4.41
983	1983	6.66	3.73
983	1984	6.90	4.45
983	1985	7.61	4.70
983	1986	7.28	4.53
983	1987	7.54	5.54
983	1988	7.08	4.40
983	1989	6.81	4.14
983	1990	7.35	4.68
983	1991	7.51	5.21
983	1992	6.90	4.54
983	1993	6.92	4.61
983	1994	7.27	4.28
983	1995	6.81	4.23
983	1996	7.50	5.53
983	1997	7.45	5.53
983	1998	7.76	5.20
983	1999	7.63	4.96
983	2000	7.41	5.10
983	2001	7.67	5.75
983	2002	7.41	5.80
983	2003	8.30	6.66
983	2004	8.09	6.17
983	2005	7.63	5.59
