station-number	year	SST	T
352	1955	4.54	2.95
352	1956	4.38	3.29
352	1957	5.15	3.47
352	1958	4.70	2.85
352	1959	4.93	3.43
352	1960	5.41	3.86
352	1961	5.23	3.31
352	1962	4.56	2.96
352	1963	3.78	2.22
352	1964	4.36	3.42
352	1965	3.33	2.04
352	1966	3.93	2.02
352	1967	3.20	1.72
352	1968	2.99	1.62
352	1969	3.02	1.30
352	1970	3.51	2.12
352	1971	3.48	1.91
352	1972	4.78	3.57
352	1973	4.08	2.14
352	1974	4.70	3.47
352	1975	4.06	2.36
352	1976	4.35	3.10
352	1977	4.37	2.63
352	1978	4.22	2.96
352	1979	2.98	1.15
352	1980	4.85	3.05
352	1981	3.48	1.58
352	1982	3.92	2.20
352	1983	3.51	1.93
352	1984	4.42	3.01
352	1985	4.51	2.56
352	1986	4.47	2.48
352	1987	4.68	3.78
352	1988	3.65	2.10
352	1989	3.84	2.50
352	1990	4.63	3.07
352	1991	4.93	3.75
352	1992	4.39	3.00
352	1993	3.75	2.62
352	1994	4.59	2.81
352	1995	3.83	2.46
352	1996	4.66	3.68
352	1997	4.35	3.27
352	1998	4.30	2.67
352	1999	4.79	3.24
352	2000	5.10	3.60
352	2001	5.11	3.69
352	2002	4.48	3.46
352	2003	6.11	4.67
352	2004	5.74	4.37
352	2005	4.76	3.53
352	2006	4.90	3.77
352	2007	5.12	3.63
352	2008	5.10	3.79
352	2009	5.48	3.79
352	2010	5.41	4.09
