station-number	year	SST	T
680	1875	4.64	3.63
680	1876	3.78	2.65
680	1877	3.63	2.14
680	1878	2.56	1.87
680	1879	2.71	2.31
680	1880	4.54	3.32
680	1881	2.01	0.67
680	1882	2.18	1.50
680	1883	3.55	3.29
680	1884	4.16	3.29
680	1885	2.82	1.70
680	1886	2.34	1.40
680	1887	1.50	1.05
680	1888	1.38	0.99
680	1889	3.16	2.70
680	1890	4.15	3.43
680	1891	3.02	2.19
680	1892	0.69	0.08
680	1893	2.85	2.34
680	1894	4.06	3.29
680	1895	3.13	2.21
680	1896	3.33	2.58
680	1897	3.83	2.77
680	1898	3.90	2.72
680	1899	3.73	2.37
680	1900	3.13	2.90
680	1901	4.02	3.18
680	1902	2.43	1.74
680	1903	3.57	2.41
680	1904	3.82	3.25
680	1905	3.60	2.98
680	1906	2.90	2.12
680	1907	2.46	2.10
680	1908	3.74	3.49
680	1909	3.70	2.97
680	1910	2.94	2.62
680	1911	3.12	2.78
680	1912	4.06	3.12
680	1913	4.26	3.30
680	1914	2.73	2.58
680	1915	3.33	2.58
680	1916	3.85	3.00
680	1917	2.78	1.77
680	1918	2.34	1.83
680	1919	3.10	2.09
680	1920	3.33	2.94
680	1921	3.93	2.87
680	1922	4.02	3.08
680	1923	3.99	2.90
680	1924	3.56	2.78
680	1925	4.03	3.08
680	1926	4.42	3.57
680	1927	4.26	3.16
680	1928	4.98	3.86
680	1929	5.52	4.20
680	1930	4.67	3.32
680	1931	4.37	3.06
680	1932	4.36	3.59
680	1933	5.04	4.40
680	1934	4.88	4.00
680	1935	4.50	3.53
680	1936	4.61	3.59
680	1937	4.79	4.16
680	1938	4.78	4.10
680	1939	5.29	4.44
680	1940	4.91	3.84
680	1941	4.76	4.15
680	1942	4.72	3.74
680	1943	3.81	3.18
680	1944	3.63	2.73
680	1945	4.58	4.02
680	1946	5.02	4.53
680	1947	4.70	3.74
680	1948	4.53	3.73
