station-number	year	SST	T
178	1867	4.10	2.41
178	1868	4.82	2.84
178	1869	4.16	1.67
178	1870	5.18	3.75
178	1871	5.23	3.28
178	1872	4.82	3.28
178	1873	4.29	2.98
178	1874	4.03	1.97
178	1875	5.69	3.94
178	1876	4.89	3.27
178	1877	5.46	2.25
178	1878	5.73	2.67
178	1879	5.46	3.42
178	1880	5.71	3.77
178	1881	5.03	1.48
178	1882	3.84	1.76
178	1883	6.01	3.52
178	1884	5.21	3.65
178	1885	4.46	2.10
178	1886	4.48	2.06
178	1887	4.64	2.38
178	1888	4.88	2.85
178	1889	5.83	3.98
178	1890	5.30	3.77
178	1891	5.67	3.71
178	1892	3.80	1.27
178	1893	4.62	3.15
178	1894	5.38	3.92
178	1895	4.99	3.48
178	1896	4.73	3.05
178	1897	4.75	3.35
178	1898	4.32	3.12
178	1899	3.85	2.65
178	1900	4.21	3.44
178	1901	4.63	3.83
178	1902	4.40	2.66
178	1903	4.13	2.44
178	1904	4.60	3.01
178	1905	5.10	3.45
178	1906	4.87	2.86
178	1907	4.23	2.47
178	1908	5.63	4.11
178	1909	5.18	3.58
178	1910	4.34	2.75
178	1911	4.94	3.40
178	1912	5.08	3.52
178	1913	5.03	3.51
178	1914	4.17	2.55
178	1915	5.24	3.58
178	1916	5.30	3.31
178	1917	5.28	2.58
178	1918	5.51	2.16
178	1919	4.68	2.62
178	1920	4.91	3.03
178	1921	4.19	2.92
178	1922	5.22	3.62
178	1923	4.88	3.30
178	1924	4.73	3.32
178	1925	5.01	3.38
178	1926	5.07	3.97
178	1927	5.51	4.08
178	1928	6.10	4.77
178	1929	6.09	4.62
178	1930	4.91	3.68
178	1931	5.46	3.78
178	1932	5.50	4.55
178	1933	5.88	5.11
178	1934	5.46	4.12
178	1935	5.15	4.03
178	1936	4.94	3.94
178	1937	4.82	4.07
178	1938	5.18	4.18
178	1939	5.66	5.09
178	1940	4.53	3.97
178	1941	5.88	5.17
178	1942	5.20	4.45
178	1943	4.48	3.33
178	1944	4.78	3.73
178	1945	5.52	4.92
178	1946	5.83	5.06
178	1947	4.88	4.02
178	1948	4.64	4.10
178	1949	4.14	3.24
178	1950	4.92	3.94
178	1951	4.45	3.35
178	1952	4.73	3.58
178	1953	5.38	4.44
178	1954	4.93	3.87
178	1955	4.98	3.63
178	1956	5.29	4.43
178	1957	5.49	4.22
178	1958	4.99	3.91
178	1959	5.35	4.18
178	1960	5.68	4.82
178	1961	5.43	4.18
178	1962	4.91	3.81
178	1963	5.04	3.66
178	1964	6.08	4.82
178	1965	5.62	3.85
178	1966	4.99	3.03
178	1967	4.99	2.98
178	1968	4.92	3.24
178	1969	4.13	2.60
178	1970	4.72	3.02
178	1971	5.25	3.13
178	1972	5.54	4.31
178	1973	5.26	3.07
178	1974	5.53	4.27
178	1975	4.64	3.25
178	1976	5.33	4.01
178	1977	5.00	3.55
178	1978	5.19	3.83
178	1979	4.00	2.26
178	1980	5.23	3.81
178	1981	3.97	2.47
178	1982	4.54	3.19
178	1983	3.84	2.60
178	1984	4.48	3.55
