station-number	year	SST	T
519	1952	3.39	2.64
519	1953	4.52	4.07
519	1954	4.03	3.14
519	1955	4.02	3.15
519	1956	4.08	3.72
519	1957	4.48	3.35
519	1958	4.23	3.14
519	1959	4.63	4.16
519	1960	5.26	4.24
519	1961	4.92	3.62
519	1962	4.07	3.06
519	1963	3.91	2.98
519	1964	4.40	3.81
519	1965	2.96	2.04
519	1966	3.74	2.27
519	1967	3.44	1.98
519	1968	2.83	1.76
519	1969	2.74	1.72
519	1970	3.40	2.25
519	1971	3.62	2.56
519	1972	4.60	4.19
519	1973	3.82	2.32
519	1974	4.46	3.83
519	1975	4.09	2.72
519	1976	4.25	3.67
519	1977	3.87	2.88
519	1978	3.87	2.99
519	1979	2.29	1.11
519	1980	4.25	3.13
519	1981	2.69	1.88
519	1982	3.21	2.68
519	1983	3.09	2.22
519	1984	4.21	4.03
519	1985	3.73	2.62
519	1986	3.92	3.07
519	1987	4.30	4.10
519	1988	3.18	2.31
519	1989	3.54	3.03
519	1990	3.65	3.22
519	1991	4.53	4.11
519	1992	3.79	3.43
519	1993	3.01	3.01
