year	SST	T
1875	5.48	2.95
1876	5.67	2.07
1877	5.28	1.12
1878	4.65	1.06
1879	5.24	2.10
1882	2.12	-0.43
1883	4.03	2.50
1884	4.18	2.74
1885	3.04	0.97
1886	2.43	0.35
1887	2.83	0.53
1888	2.39	0.44
1889	5.03	3.08
1890	3.73	2.32
1891	3.64	1.78
1892	2.01	-0.52
1893	3.31	1.67
1894	4.16	2.75
1895	2.99	1.62
1896	2.63	1.51
1897	3.48	1.93
1898	4.34	1.97
1899	4.23	1.50
1900	4.36	2.17
1901	3.59	2.12
1902	1.92	0.32
1903	2.45	1.08
1904	4.00	2.11
1905	3.81	1.84
1906	2.47	1.27
1907	2.62	0.90
1908	3.97	2.81
1909	4.38	2.18
1910	3.27	1.29
1911	3.21	1.94
1912	4.37	2.03
1913	4.17	2.11
1914	3.13	1.24
1915	3.27	1.41
1916	4.24	2.14
1917	3.41	0.89
1918	2.80	0.37
1919	4.23	1.22
1920	4.20	2.21
1921	4.28	1.48
1922	4.88	2.30
1923	4.41	2.14
1924	3.67	1.85
1925	4.54	2.44
1926	4.94	2.77
1927	4.97	2.99
1928	5.34	3.37
1929	5.23	3.31
1930	4.62	2.62
1931	5.53	2.62
1932	4.57	2.77
1935	5.36	2.78
1936	5.39	2.79
1940	5.59	2.82
1943	2.82	1.99
1944	4.08	2.42
1945	4.87	3.42
1946	5.10	3.70
1947	5.06	3.11
1948	4.63	2.87
1949	3.63	2.19
1950	3.75	2.86
1951	3.38	2.15
1952	3.85	2.46
1953	5.44	3.87
1954	4.67	3.19
1955	5.08	3.02
1956	4.38	3.11
1957	4.48	3.44
1961	5.48	3.33
1962	4.68	2.95
1963	4.05	2.20
1964	4.78	3.23
1965	2.62	1.57
1966	4.33	1.86
1967	3.14	1.43
1968	3.02	1.07
1969	3.34	1.16
1970	3.60	1.88
1971	3.11	1.56
1972	5.20	3.49
1990	3.98	2.89
1991	4.62	3.59
1992	3.46	2.73
1993	3.41	2.38
1994	4.31	2.71
1995	3.08	2.07
1996	4.71	3.44
1997	3.86	2.88
1998	4.06	2.14
1999	4.47	3.02
2000	4.77	3.18
2001	4.52	3.23
2002	3.67	3.26
2003	6.02	4.56
2004	5.64	4.05
2005	4.60	3.02
2006	4.03	3.67
2007	4.11	3.51
2008	5.33	3.77
2009	5.05	3.69
2010	5.33	3.93
2011	4.75	3.58
2012	4.92	3.65
2013	4.72	3.46
2014	5.46	4.89
2015	4.65	3.36
2016	5.66	4.80
2017	5.52	4.35
2018	4.86	4.13
2019	5.28	3.92
2020	4.52	3.75
