age_b2k	temperature_proxy
-1	-0.80
19	-0.77
39	-0.94
59	-1.07
79	-0.92
99	-0.78
119	-1.13
139	-1.16
159	-1.04
179	-1.18
199	-1.20
219	-1.22
239	-1.38
259	-1.37
279	-1.30
299	-1.21
319	-1.20
339	-1.28
359	-1.04
379	-1.23
399	-1.16
419	-1.09
439	-1.14
459	-1.03
479	-1.34
499	-1.50
519	-1.81
539	-1.83
559	-1.36
579	-1.19
599	-1.40
619	-1.36
639	-1.48
659	-1.39
679	-1.30
699	-1.22
720	-0.93
740	-0.98
760	-1.13
780	-1.22
800	-0.91
820	-0.96
840	-0.94
860	-0.96
880	-1.00
900	-0.86
920	-0.87
940	-0.88
960	-0.64
980	-0.66
1000	-0.79
1020	-0.77
1040	-0.97
1060	-1.06
1080	-1.07
1100	-1.08
1120	-1.12
1140	-1.10
1160	-1.19
1180	-1.43
1200	-1.07
1220	-1.02
1240	-0.99
1260	-1.03
1280	-0.95
1300	-0.98
1320	-0.97
1340	-0.98
1360	-1.10
1380	-1.07
1400	-1.18
1420	-1.22
1440	-0.78
1460	-0.73
1480	-0.81
1500	-0.83
1520	-0.56
1540	-0.48
1560	-0.50
1580	-0.58
1600	-0.41
1620	-0.43
1640	-0.42
1660	-0.34
1680	-0.45
1700	-0.57
1720	-0.44
1740	-0.36
1760	-0.43
1780	-0.34
1800	-0.29
1820	-0.25
1840	-0.32
1860	-0.27
1880	-0.28
1900	-0.41
1920	-0.42
1940	-0.40
1960	-0.34
1980	-0.24
2000	-0.17
2020	-0.28
2040	-0.37
2060	-0.42
2080	-0.30
2100	-0.49
2120	-0.42
2141	-0.36
2161	-0.41
2181	-0.40
2201	-0.40
2221	-0.54
2241	-0.53
2261	-0.32
2281	-0.44
2301	-0.58
2321	-0.57
2341	-0.75
2361	-0.43
2381	-0.52
2401	-0.69
2421	-0.59
2441	-0.52
2461	-0.58
2481	-0.57
2501	-0.39
2521	-0.51
2541	-0.47
2561	-0.50
2581	-0.34
2601	-0.34
2621	-0.36
2641	-0.52
2661	-0.42
2681	-0.40
2701	-0.46
2721	-0.35
2741	-0.41
2761	-0.51
2781	-0.67
2801	-0.69
2821	-0.69
2841	-0.60
2861	-0.70
2881	-0.67
2901	-0.50
2921	-0.75
2941	-0.95
2961	-1.16
2981	-0.87
3001	-0.75
3021	-0.41
3041	-0.39
3061	-0.28
3081	-0.22
3101	-0.18
3121	-0.21
3141	-0.29
3161	-0.21
3181	-0.06
3201	-0.07
3221	0.00
3241	-0.08
3261	-0.21
3281	0.02
3301	0.09
3321	-0.04
3341	-0.25
3361	-0.13
3381	-0.14
3401	-0.17
3421	-0.35
3441	-0.31
3461	-0.32
3481	-0.28
3501	-0.34
3521	-0.35
3541	-0.43
3562	-0.22
3582	-0.36
3602	-0.35
3622	-0.40
3642	-0.29
3662	-0.14
3682	-0.20
3702	-0.47
3722	-0.45
3742	-0.30
3762	-0.23
3782	-0.24
3802	-0.19
3822	-0.30
3842	-0.39
3862	-0.28
3882	-0.29
3902	-0.16
3922	-0.12
3942	-0.07
3962	-0.16
3982	-0.24
4002	-0.18
4022	-0.28
4042	-0.25
4062	-0.15
4082	-0.17
4102	0.00
4122	-0.13
4142	-0.19
4162	-0.12
4182	-0.09
4202	-0.47
4222	-0.70
4242	-0.59
4262	-0.13
4282	-0.12
4302	-0.01
4322	0.00
4342	-0.06
4362	0.00
4382	-0.04
4402	-0.02
4422	0.12
4442	0.10
4462	0.11
4482	-0.01
4502	-0.10
4522	0.19
4542	0.14
4562	0.22
4582	0.03
4602	0.20
4622	0.06
4642	0.03
4662	0.08
4682	0.19
4702	0.11
4722	0.22
4742	0.19
4762	0.13
4782	0.25
4802	0.16
4822	-0.05
4842	0.01
4862	0.01
4882	-0.09
4902	-0.09
4922	-0.04
4942	-0.04
4962	-0.03
4983	0.05
5003	0.08
5023	-0.07
5043	-0.06
5063	-0.09
5083	-0.20
5103	-0.19
5123	-0.08
5143	0.07
5163	0.01
5183	-0.10
5203	-0.10
5223	-0.24
5243	-0.16
5263	0.00
5283	0.04
5303	-0.06
5323	0.01
5343	-0.11
5363	-0.17
5383	-0.20
5403	-0.20
5423	-0.19
5443	-0.04
5463	0.11
5483	0.38
5503	0.39
5523	0.21
5543	0.19
5563	0.32
5583	0.33
5603	0.37
5623	0.33
5643	0.27
5663	0.22
5683	0.25
5703	0.23
5723	0.15
5743	0.26
5763	0.23
5783	0.23
5803	0.39
5823	0.34
5843	-0.01
5863	0.04
5883	0.14
5903	0.15
5923	0.12
5943	0.05
5963	0.08
5983	0.28
6003	0.55
6023	0.68
6043	0.61
6063	0.37
6083	0.25
6103	0.23
6123	0.17
6143	0.13
6163	0.29
6183	0.40
6203	0.37
6223	0.23
6243	0.16
6263	0.20
6283	0.17
6303	0.26
6323	0.33
6343	0.28
6363	0.20
6383	0.16
6404	0.03
6424	-0.10
6444	-0.11
6464	0.00
6484	0.05
6504	0.08
6524	0.12
6544	0.17
6564	0.21
6584	0.20
6604	0.22
6624	0.32
6644	0.45
6664	0.52
6684	0.55
6704	0.55
6724	0.57
6744	0.63
6764	0.64
6784	0.68
6804	0.64
6824	0.49
6844	0.40
6864	0.36
6884	0.34
6904	0.26
6924	0.20
6944	0.23
6964	0.37
6984	0.49
7004	0.53
7024	0.50
7044	0.56
7064	0.69
7084	0.74
7104	0.48
7124	0.35
7144	0.38
7164	0.28
7184	0.22
7204	0.34
7224	0.29
7244	0.34
7264	0.39
7284	0.43
7304	0.35
7324	0.43
7344	0.40
7364	0.37
7384	0.38
7404	0.40
7424	0.38
7444	0.41
7464	0.40
7484	0.40
7504	0.41
7524	0.42
7544	0.43
7564	0.46
7584	0.45
7604	0.46
7624	0.49
7644	0.55
7664	0.54
7684	0.48
7704	0.47
7724	0.48
7744	0.50
7764	0.48
7784	0.48
7804	0.43
7825	0.42
7845	0.42
7865	0.36
7885	0.33
7905	0.28
7925	0.23
7945	0.22
7965	0.29
7985	0.22
8005	-0.17
8025	-0.02
8045	0.08
8065	0.04
8085	-0.06
8105	0.00
8125	-0.15
8145	-0.24
8165	-0.51
8185	-0.25
8205	-0.12
8225	-0.56
8245	-0.70
8265	-0.70
8285	-0.33
8305	-0.28
8325	-0.08
8345	-0.30
8365	-0.24
8385	-0.19
8405	-0.22
8425	-0.13
8445	-0.21
8465	-0.28
8485	-0.09
8505	-0.23
8525	-0.26
8545	-0.19
8565	-0.10
8585	0.32
8605	0.40
8625	0.06
