time moc-sv
2014-08 13.156631
2014-09 10.790474
2014-10 16.565902
2014-11 14.026608
2014-12 9.212436
2015-01 15.270455
2015-02 12.431377
2015-03 12.064901
2015-04 20.147701
2015-05 19.154851
2015-06 22.607609
2015-07 20.671705
2015-08 19.309911
2015-09 16.268045
2015-10 19.498443
2015-11 14.628475
2015-12 14.576635
2016-01 16.768475
2016-02 17.228528
2016-03 13.540960
2016-04 20.919962
2016-05 19.346460
2016-06 14.618875
2016-07 14.313661
2016-08 17.490702
2016-09 17.435898
2016-10 16.249623
2016-11 17.161961
2016-12 12.132229
2017-01 12.630265
2017-02 17.208610
2017-03 18.290372
2017-04 20.870883
2017-05 16.862686
2017-06 14.620952
2017-07 9.940878
2017-08 16.877505
2017-09 14.428542
2017-10 14.357870
2017-11 10.791509
2017-12 11.767236
2018-01 16.726315
2018-02 12.516254
2018-03 17.978727
2018-04 14.915276
2018-05 17.826136
2018-06 15.879666
2018-07 12.914412
2018-08 17.289874
2018-09 15.128040
2018-10 12.750895
2018-11 15.885389
2018-12 16.200788
2019-01 13.701252
2019-02 16.437114
2019-03 14.507244
2019-04 14.219877
2019-05 16.018968
2019-06 14.937896
2019-07 12.532014
2019-08 13.543407
2019-09 14.575550
2019-10 13.559018
2019-11 11.126146
2019-12 10.626176
2020-01 15.679265
2020-02 15.899750
2020-03 17.573894
2020-04 17.859949
2020-05 22.522206
2020-06 22.661261
2020-07 16.762696
2020-08 18.219989
2020-09 13.521593
2020-10 13.617165
2020-11 16.312583
2020-12 12.933517
2021-01 14.944973
2021-02 23.823317
2021-03 18.590155
2021-04 19.371125
2021-05 17.263006
2021-06 13.195615
2021-07 15.118904
2021-08 17.138421
2021-09 14.513874
2021-10 12.819637
2021-11 13.201395
2021-12 12.506334
2022-01 11.814197
2022-02 14.470996
2022-03 10.308211
2022-04 16.577423
2022-05 16.856791
2022-06 18.329590
2022-07 20.865430
