depth;d18O;age
50.075;-26.047;-0.012283
50.125;-25.463;-0.012278
50.175;-25.032;-0.012273
50.225;-25.335;-0.012269
50.275;-24.614;-0.012264
50.325;-24.752;-0.012259
50.375;-23.776;-0.012255
50.425;-23.647;-0.012250
50.475;-23.996;-0.012245
50.525;-24.004;-0.012241
50.575;-24.039;-0.012236
50.625;-24.135;-0.012231
50.675;-24.180;-0.012226
50.725;-24.687;-0.012222
50.775;-25.093;-0.012217
50.825;-25.036;-0.012212
50.875;-25.823;-0.012208
50.925;-25.874;-0.012203
50.975;-26.511;-0.012198
51.025;-26.664;-0.012194
51.075;-26.907;-0.012189
51.125;-27.026;-0.012184
51.175;-27.029;-0.012180
51.225;-27.122;-0.012175
51.275;-27.218;-0.012170
51.325;-27.085;-0.012166
51.375;-26.997;-0.012161
51.425;-27.125;-0.012156
51.475;-26.866;-0.012152
51.525;-26.819;-0.012147
51.575;-26.730;-0.012142
51.625;-26.785;-0.012138
51.675;-26.812;-0.012133
51.725;-26.499;-0.012128
51.775;-26.503;-0.012124
51.825;-26.374;-0.012119
51.875;-26.342;-0.012114
51.925;-26.212;-0.012109
51.975;-26.250;-0.012105
52.025;-26.096;-0.012100
52.075;-26.015;-0.012095
52.125;-25.914;-0.012091
52.175;-26.056;-0.012086
52.225;-25.925;-0.012081
52.275;-25.935;-0.012077
52.325;-25.828;-0.012072
52.375;-25.869;-0.012067
52.425;-26.110;-0.012063
52.475;-26.058;-0.012058
52.525;-25.915;-0.012053
52.575;-26.083;-0.012049
52.625;-26.369;-0.012044
52.675;-26.214;-0.012039
52.725;-26.267;-0.012035
52.775;-26.458;-0.012030
52.825;-26.291;-0.012025
52.875;-26.588;-0.012021
52.925;-26.586;-0.012016
52.975;-26.454;-0.012011
53.025;-26.876;-0.012007
53.075;-26.948;-0.012002
53.125;-26.906;-0.011997
53.175;-27.117;-0.011992
53.225;-27.302;-0.011986
53.275;-27.160;-0.011981
53.325;-27.599;-0.011976
53.375;-27.710;-0.011971
53.425;-27.690;-0.011966
53.475;-27.825;-0.011960
53.525;-27.891;-0.011955
53.575;-27.997;-0.011950
53.625;-28.513;-0.011945
53.675;-28.189;-0.011940
53.725;-28.186;-0.011934
53.775;-28.219;-0.011929
53.825;-28.184;-0.011924
53.875;-28.306;-0.011919
53.925;-28.207;-0.011914
53.975;-28.095;-0.011908
54.025;-28.309;-0.011903
54.075;-28.194;-0.011898
54.125;-28.384;-0.011893
54.175;-28.168;-0.011888
54.225;-28.258;-0.011882
54.275;-28.231;-0.011877
54.325;-28.138;-0.011872
54.375;-28.191;-0.011867
54.425;-27.708;-0.011862
54.475;-27.573;-0.011856
54.525;-27.599;-0.011851
54.575;-27.357;-0.011846
54.625;-27.276;-0.011841
54.675;-27.226;-0.011836
54.725;-27.252;-0.011830
54.775;-27.222;-0.011825
54.825;-27.204;-0.011820
54.875;-27.170;-0.011815
54.925;-27.154;-0.011810
54.975;-27.125;-0.011804
55.025;-27.074;-0.011799
55.075;-27.075;-0.011794
55.125;-27.009;-0.011789
55.175;-26.575;-0.011784
55.225;-26.323;-0.011778
55.275;-26.474;-0.011773
55.325;-25.752;-0.011768
55.375;-25.763;-0.011763
55.425;-25.541;-0.011758
55.475;-25.111;-0.011752
55.525;-24.915;-0.011747
55.575;-24.911;-0.011742
55.625;-24.460;-0.011737
55.675;-24.405;-0.011732
55.725;-24.081;-0.011726
55.775;-23.582;-0.011721
55.825;-23.281;-0.011716
55.875;-23.240;-0.011711
55.925;-23.205;-0.011706
55.975;-23.296;-0.011700
56.025;-22.934;-0.011695
56.075;-22.861;-0.011690
56.125;-22.356;-0.011685
56.175;-22.489;-0.011680
56.225;-22.631;-0.011674
56.275;-22.208;-0.011669
56.325;-22.144;-0.011664
56.375;-22.148;-0.011659
56.425;-22.039;-0.011653
56.475;-22.223;-0.011648
56.525;-21.931;-0.011643
56.575;-21.852;-0.011638
56.625;-21.912;-0.011633
56.675;-21.998;-0.011627
56.725;-21.807;-0.011622
56.775;-22.047;-0.011617
56.825;-22.074;-0.011612
56.875;-21.979;-0.011607
56.925;-22.044;-0.011601
56.975;-22.141;-0.011596
57.025;-22.242;-0.011591
57.075;-22.068;-0.011586
57.125;-22.176;-0.011581
57.175;-22.425;-0.011575
57.225;-22.223;-0.011570
57.275;-22.477;-0.011565
57.325;-22.333;-0.011560
57.375;-22.375;-0.011555
57.425;-22.400;-0.011549
57.475;-22.407;-0.011544
