depth	yearBP	SST	Notes
0.5	-51	6.59	MD99-2275
1.5	-48	6.29	MD99-2275
2.5	-45	6.99	MD99-2275
3.5	-43	7.29	MD99-2275
4.5	-40	8.29	MD99-2275
5.5	-37	6.89	MD99-2275
6.5	-35	6.89	MD99-2275
7.5	-32	6.19	MD99-2275
8.5	-30	5.99	MD99-2275
9.5	-27	6.59	MD99-2275
10.5	-24	6.69	MD99-2275
11.5	-22	6.29	MD99-2275
12.5	-19	5.39	MD99-2275
13.5	-17	6.19	MD99-2275
14.5	-14	6.79	MD99-2275
15.5	-10	6.99	MD99-2275
16.5	-5	6.29	MD99-2275
17.5	0	6.79	MD99-2275
18.5	5	5.79	MD99-2275
19.5	8	6.79	MD99-2275
20.5	11	7.09	MD99-2275
21.5	14	6.89	MD99-2275
22.5	18	6.99	MD99-2275
23.5	21	7.19	MD99-2275
24.5	22	6.94	MD99-2275
25.5	25	6.54	MD99-2275
26.5	28	6.74	MD99-2275
27.5	32	6.74	MD99-2275
28.5	35	6.24	MD99-2275
29.5	38	6.74	MD99-2275
30.5	42	6.64	MD99-2275
31.5	45	6.84	MD99-2275
32.5	48	6.94	MD99-2275
33.5	52	7.14	MD99-2275
34.5	55	7.04	MD99-2275
35.5	57	6.97	MD99-2275
36.5	59	6.86	MD99-2275
37.5	61	8.26	MD99-2275
38.5	62	7.53	MD99-2275
39.5	64	6.89	MD99-2275
40.5	66	6.81	MD99-2275
41.5	67	7.19	MD99-2275
42.5	69	7.27	MD99-2275
43.5	70	7.07	MD99-2275
44.5	72	7.48	MD99-2275
45.5	74	6.93	MD99-2275
46.5	75	6.59	MD99-2275
47.5	78	7.45	MD99-2275
48.5	80	7.83	MD99-2275
49.5	82	6.51	MD99-2275
50.5	83	7.32	MD99-2275
51.5	85	7.72	MD99-2275
52.5	87	6.45	MD99-2275
53.5	90	7.68	MD99-2275
54.5	91	7.20	MD99-2275
55.5	93	7.91	MD99-2275
56.5	95	7.06	MD99-2275
57.5	96	6.45	MD99-2275
58.5	98	8.21	MD99-2275
59.5	100	6.30	MD99-2275
60.5	101	7.60	MD99-2275
61.5	103	7.13	MD99-2275
62.5	104	6.99	MD99-2275
63.5	106	6.89	MD99-2275
64.5	108	6.91	MD99-2275
65.5	109	6.99	MD99-2275
66.5	111	7.35	MD99-2275
67.5	113	6.45	MD99-2275
68.5	114	6.95	MD99-2275
69.5	116	7.30	MD99-2275
70.5	117	7.59	MD99-2275
71.5	119	8.06	MD99-2275
72.5	121	7.49	MD99-2275
73.5	122	7.85	MD99-2275
74.5	124	6.96	MD99-2275
75.5	125	7.18	MD99-2275
76.5	127	6.60	MD99-2275
77.5	129	7.16	MD99-2275
78.5	130	7.62	MD99-2275
79.5	132	7.92	MD99-2275
80.5	134	7.64	MD99-2275
81.5	135	7.74	MD99-2275
82.5	137	7.79	MD99-2275
83.5	138	7.61	MD99-2275
84.5	140	6.75	MD99-2275
85.5	142	7.06	MD99-2275
86.5	143	7.61	MD99-2275
87.5	145	7.15	MD99-2275
88.5	147	7.15	MD99-2275
89.5	148	7.60	MD99-2275
90.5	150	7.50	MD99-2275
91.5	152	8.21	MD99-2275
