station-number	year	SST	T
404	1875	5.48	2.95
404	1876	5.67	2.07
404	1877	5.28	1.12
404	1878	4.65	1.06
404	1879	5.24	2.10
404	1882	2.12	-0.43
404	1883	4.03	2.50
404	1884	4.18	2.74
404	1885	3.04	0.97
404	1886	2.43	0.35
404	1887	2.83	0.53
404	1888	2.39	0.44
404	1889	5.03	3.08
404	1890	3.73	2.32
404	1891	3.64	1.78
404	1892	2.01	-0.52
404	1893	3.31	1.67
404	1894	4.16	2.75
404	1895	3.83	1.62
404	1896	3.46	1.51
404	1897	3.48	1.93
404	1898	4.34	1.97
404	1899	4.23	1.50
404	1900	4.36	2.17
404	1901	3.59	2.12
404	1902	1.93	0.32
404	1903	2.45	1.08
404	1904	4.00	2.11
404	1905	3.81	1.84
404	1906	2.47	1.27
404	1907	2.63	0.90
404	1908	3.97	2.81
404	1909	4.38	2.18
404	1910	3.28	1.29
404	1911	3.21	1.95
404	1912	4.37	2.03
404	1913	4.18	2.11
404	1914	3.13	1.24
404	1915	3.28	1.41
404	1916	4.24	2.14
404	1917	3.41	0.89
404	1918	2.80	0.37
404	1919	4.23	1.22
404	1920	4.20	2.21
404	1921	4.28	1.48
404	1922	4.88	2.30
404	1923	4.41	2.14
404	1924	3.67	1.85
404	1925	4.54	2.44
404	1926	4.94	2.77
404	1927	4.98	2.99
404	1928	5.29	3.37
404	1929	5.23	3.31
404	1930	4.63	2.62
404	1931	5.53	2.62
404	1932	4.57	2.77
404	1935	5.36	2.78
404	1936	5.39	2.79
404	1940	5.59	2.82
404	1943	3.91	1.99
404	1944	4.45	2.42
404	1945	4.87	3.42
404	1946	5.10	3.70
404	1947	5.06	3.11
404	1948	4.63	2.87
404	1949	3.78	2.19
404	1950	4.53	2.86
404	1951	4.08	2.15
404	1952	3.85	2.46
404	1953	5.45	3.87
404	1954	4.67	3.19
404	1955	5.33	3.02
404	1956	4.38	3.11
404	1957	4.81	3.44
404	1961	5.48	3.34
404	1962	4.68	2.95
404	1963	4.05	2.20
404	1964	4.78	3.23
404	1965	3.41	1.57
404	1966	4.33	1.86
404	1967	3.14	1.43
404	1968	3.02	1.07
404	1969	3.34	1.16
404	1970	3.60	1.88
404	1971	3.11	1.56
404	1972	5.20	3.49
404	1990	3.98	2.89
404	1991	4.62	3.59
404	1992	3.89	2.73
404	1993	3.41	2.38
404	1994	4.31	2.71
404	1995	3.24	2.07
404	1996	4.53	3.44
404	1997	4.07	2.88
404	1998	4.06	2.14
404	1999	4.47	3.02
404	2000	4.77	3.18
404	2001	4.95	3.24
404	2002	3.67	3.26
404	2003	5.99	4.56
404	2004	5.64	4.05
404	2005	4.60	3.02
404	2006	4.76	3.67
404	2007	4.84	3.51
404	2008	5.33	3.77
404	2009	5.05	3.69
404	2010	5.33	3.93
404	2011	4.75	3.58
404	2012	5.17	3.65
404	2013	4.72	3.46
404	2014	5.46	4.89
404	2015	4.65	3.36
404	2016	5.66	4.80
404	2017	5.52	4.35
404	2018	4.86	4.13
404	2019	5.28	3.92
404	2020	4.81	3.75
