station-number	year	SST	T
505	1922	3.83	2.35
505	1923	3.93	2.16
505	1924	3.50	2.03
505	1925	4.21	2.46
505	1926	4.53	3.10
505	1927	4.98	3.01
505	1928	5.36	2.98
505	1929	5.12	2.89
505	1930	3.78	2.49
505	1931	4.40	2.50
505	1932	3.83	2.80
505	1933	5.32	3.94
505	1934	4.96	3.23
505	1935	4.42	2.94
505	1936	4.44	2.61
505	1937	4.57	3.16
505	1938	4.26	3.14
505	1939	5.47	3.89
505	1940	4.33	2.95
505	1941	5.26	3.58
505	1942	4.35	2.79
505	1943	4.07	2.12
505	1951	4.39	2.27
505	1952	4.25	2.19
505	1953	5.27	3.55
505	1954	5.10	2.80
505	1955	4.37	2.61
505	1956	4.26	3.09
505	1957	4.53	2.95
505	1958	4.20	2.70
505	1959	4.65	3.49
505	1960	5.42	3.83
505	1961	4.92	2.97
505	1962	4.27	2.48
505	1963	3.68	2.18
505	1964	4.32	2.94
505	1965	3.30	1.38
505	1966	3.89	1.59
505	1967	3.41	1.24
505	1968	2.91	0.85
505	1969	2.96	0.75
505	1970	3.37	1.61
505	1971	3.74	1.45
505	1972	4.62	3.30
505	1973	4.19	1.43
505	1974	4.34	3.05
505	1975	3.85	1.81
505	1976	4.54	2.92
505	1977	4.29	2.25
505	1978	4.41	2.41
505	1979	2.87	0.29
505	1980	4.48	2.51
505	1981	3.02	0.88
505	1982	3.49	1.88
505	1983	3.32	1.40
505	1984	4.67	3.26
505	1985	4.19	1.92
505	1986	4.32	2.34
505	1987	4.25	3.23
505	1988	3.55	1.44
505	1989	3.83	2.10
505	1990	3.98	2.41
505	1991	4.78	3.37
505	1992	4.11	2.60
505	1993	3.35	2.30
505	1994	4.37	2.61
505	1995	3.53	1.91
505	1996	4.52	3.11
505	1997	3.89	2.75
505	1998	4.02	1.96
505	1999	4.48	3.02
505	2000	4.94	3.06
505	2001	4.85	2.97
505	2002	4.39	3.35
505	2003	5.91	4.13
