station-number	year	SST	T
1	1833	6.92	4.02
1	1834	5.92	4.04
1	1835	4.67	3.49
1	1836	3.83	2.32
1	1837	4.83	3.80
1	1838	5.92	4.23
1	1839	5.42	3.37
1	1840	6.42	4.49
1	1841	6.25	3.63
1	1842	6.00	5.40
1	1843	5.67	3.97
1	1844	5.75	4.39
1	1845	6.25	4.79
1	1846	5.92	4.90
1	1847	5.25	5.56
1	1848	5.08	3.92
1	1849	5.25	4.07
1	1850	5.92	4.10
1	1851	5.33	4.61
1	1852	6.50	3.97
1	1853	6.50	3.88
1	1921	5.14	3.68
1	1922	5.84	4.06
1	1923	5.59	4.05
1	1924	5.76	4.00
1	1925	5.68	4.17
1	1926	5.88	4.85
1	1927	6.17	4.76
1	1928	6.85	5.46
1	1929	6.51	5.40
1	1930	5.98	4.41
1	1931	6.40	4.45
1	1932	6.55	5.20
1	1933	6.71	5.66
1	1934	6.76	5.04
1	1935	6.43	4.84
1	1936	6.24	4.60
1	1937	5.88	4.58
1	1938	6.54	4.91
1	1939	7.22	5.90
1	1940	6.26	4.75
1	1941	7.76	5.91
1	1942	6.99	5.14
1	1943	6.43	4.37
1	1944	6.75	4.50
1	1945	6.92	5.69
1	1946	7.19	5.62
1	1947	6.48	4.64
1	1948	6.56	4.73
1	1949	5.93	3.95
1	1950	6.28	4.80
1	1951	5.87	4.07
1	1952	5.76	4.45
1	1953	6.68	5.33
1	1954	6.21	4.92
1	1955	5.96	4.38
1	1956	6.38	5.27
1	1957	6.51	4.96
1	1958	6.53	5.02
1	1959	6.21	5.03
1	1960	6.40	5.63
1	1961	6.28	4.84
1	1962	5.73	4.54
1	1963	5.93	4.78
1	1964	6.83	5.64
1	1965	6.24	4.87
1	1966	5.78	4.13
1	1967	5.61	4.03
1	1968	6.11	4.45
1	1969	5.58	3.85
1	1970	5.26	3.96
1	1971	6.10	4.43
1	1972	6.39	5.15
1	1973	5.73	3.91
1	1974	6.27	4.96
1	1975	5.79	4.16
1	1976	6.25	4.48
1	1977	5.88	4.42
1	1978	6.28	4.36
1	1979	5.04	2.85
