station-number	year	SST	T
294	1922	4.28	2.88
294	1923	3.80	2.39
294	1924	3.93	2.36
294	1925	4.44	2.89
294	1926	4.38	3.12
294	1927	4.85	3.30
294	1928	5.20	3.68
294	1929	4.91	3.37
294	1930	4.11	2.74
294	1931	4.88	2.96
294	1932	3.86	3.06
294	1933	5.40	4.20
294	1934	4.78	3.48
290	1935	4.46	3.09
290	1936	4.84	3.20
290	1937	4.16	3.04
290	1938	4.17	3.10
290	1939	5.37	4.24
290	1940	4.48	2.98
290	1941	5.14	4.22
290	1942	4.52	3.27
290	1943	3.74	2.07
290	1944	4.23	2.83
290	1945	4.91	3.82
290	1946	5.14	3.97
290	1947	4.98	3.17
290	1948	4.54	3.06
290	1949	3.58	2.10
290	1950	4.63	2.98
290	1951	4.49	2.32
290	1952	4.23	2.67
290	1953	4.66	3.64
290	1954	4.45	2.92
290	1955	4.59	2.92
290	1956	4.58	3.31
290	1957	5.23	3.37
290	1958	4.69	2.78
290	1959	4.76	3.51
290	1960	5.39	4.17
290	1961	5.58	3.44
290	1962	4.40	2.99
290	1963	3.83	2.29
290	1964	4.58	3.63
290	1965	3.63	2.00
290	1966	4.52	1.93
290	1967	4.37	1.89
290	1968	3.28	1.75
290	1969	3.68	1.42
