station-number	year	SST	T
815	1878	7.04	4.17
815	1879	7.34	4.74
815	1880	7.78	4.94
815	1881	6.83	4.03
815	1882	6.73	3.79
815	1883	7.14	4.53
815	1884	6.81	4.42
815	1885	6.25	3.48
815	1886	6.38	3.66
815	1887	5.75	3.53
815	1888	5.67	3.65
815	1889	7.26	5.10
815	1890	7.24	5.12
815	1891	6.89	4.47
815	1892	6.19	3.27
815	1893	7.20	4.60
815	1894	7.46	4.97
815	1895	7.36	4.75
815	1896	6.94	4.44
815	1897	7.25	4.68
815	1898	6.90	4.23
815	1899	6.91	4.27
815	1900	6.96	4.50
815	1901	7.02	4.72
815	1902	7.01	4.74
815	1903	6.73	4.36
815	1904	7.13	4.72
815	1905	7.05	4.75
815	1906	6.88	4.12
815	1907	7.10	4.22
815	1908	7.26	5.00
815	1909	7.36	4.84
815	1910	7.35	4.50
815	1911	7.28	4.95
815	1912	7.63	5.01
815	1913	7.17	4.80
815	1914	6.93	4.32
815	1915	7.41	5.02
815	1916	7.42	4.55
815	1917	7.29	4.12
815	1918	6.98	4.20
815	1919	6.96	3.94
815	1920	7.43	4.57
815	1921	7.18	4.48
815	1922	7.53	4.61
815	1923	7.40	4.50
815	1924	7.79	4.79
815	1925	7.50	4.50
815	1926	7.80	5.20
815	1927	8.05	5.20
815	1928	8.33	5.81
815	1929	8.18	5.68
815	1930	8.03	4.99
815	1931	7.78	5.09
815	1932	8.08	5.73
815	1933	8.40	6.07
815	1934	8.21	5.45
815	1935	8.25	5.33
815	1936	8.33	5.22
815	1937	8.00	5.08
815	1938	8.01	5.27
815	1939	8.68	6.08
815	1940	8.22	5.42
815	1941	8.92	6.26
815	1942	8.30	5.62
815	1943	8.18	5.09
815	1944	8.29	5.00
815	1945	8.59	6.04
815	1946	8.65	6.17
815	1947	8.22	5.26
815	1948	8.13	5.39
815	1949	7.66	4.62
815	1950	8.08	5.24
815	1951	7.97	4.79
815	1952	7.23	4.83
815	1953	8.18	5.79
815	1954	8.14	5.20
815	1955	7.78	4.78
815	1956	8.18	5.50
815	1957	8.32	5.28
815	1958	8.43	5.38
815	1959	8.11	5.42
815	1960	8.54	6.07
815	1961	8.03	5.37
815	1962	7.83	4.87
815	1963	7.87	5.18
816	1999	7.98	4.84
816	2000	8.06	5.12
816	2001	8.30	5.60
816	2002	8.21	5.85
816	2003	8.59	6.23
816	2004	8.68	6.00
816	2005	7.95	5.41
816	2006	8.41	5.93
816	2007	8.32	5.89
816	2008	8.38	5.55
816	2009	8.50	6.02
816	2010	8.70	6.17
