station-number	year	SST	T
248	1922	4.54	3.36
248	1923	4.28	3.03
248	1924	3.98	2.99
248	1925	4.53	3.15
248	1926	4.25	3.76
248	1927	4.71	3.90
248	1928	5.29	4.57
248	1929	5.36	4.31
248	1930	4.26	3.62
248	1931	4.95	3.89
248	1932	4.91	4.41
248	1933	5.32	5.17
248	1934	4.54	3.84
248	1935	4.62	4.03
248	1936	4.85	4.06
248	1937	4.38	3.93
248	1938	4.65	4.14
248	1939	5.55	5.08
248	1940	4.43	3.72
248	1941	5.65	4.98
248	1942	4.81	4.05
248	1943	3.99	2.92
248	1944	4.53	3.48
248	1945	4.79	4.61
248	1946	5.18	4.63
248	1947	4.83	3.52
248	1948	4.44	3.82
248	1949	3.71	3.06
248	1950	4.52	4.08
248	1951	3.95	3.24
248	1952	4.17	3.73
248	1953	4.91	4.43
248	1954	4.49	3.99
248	1955	4.33	3.79
248	1956	4.85	4.50
248	1957	5.13	4.51
248	1958	4.59	4.07
248	1959	4.81	4.57
248	1960	5.51	5.22
248	1961	5.05	4.41
248	1962	4.73	3.63
248	1963	4.48	3.63
248	1964	5.49	4.61
248	1965	5.09	3.86
248	1966	4.29	3.02
248	1967	4.28	2.91
248	1968	4.11	3.06
248	1969	4.00	2.52
248	1970	3.90	2.95
248	1971	4.05	2.81
248	1972	4.83	4.34
248	1973	4.26	2.85
248	1974	4.96	4.32
248	1975	4.18	3.21
248	1976	4.76	4.24
248	1977	4.52	3.62
248	1978	4.90	3.98
248	1979	4.08	2.42
248	1980	4.50	3.85
248	1981	3.95	2.47
248	1982	4.56	3.22
248	1983	3.90	2.59
248	1984	4.68	3.93
248	1985	4.93	3.89
248	1986	4.77	3.43
248	1987	5.30	4.69
248	1988	4.29	3.13
