station-number	year	SST	T
675	1873	3.06	3.17
675	1874	2.14	2.11
675	1875	4.15	4.07
675	1876	3.20	2.98
675	1877	2.73	2.29
675	1878	2.53	2.13
675	1879	3.52	2.54
675	1880	5.00	3.48
675	1881	3.05	0.82
675	1882	3.23	1.93
675	1883	5.05	3.73
675	1884	5.13	3.63
675	1885	3.97	2.10
675	1886	3.18	1.98
675	1887	2.13	1.67
675	1888	2.17	1.65
675	1889	3.85	3.25
675	1890	5.06	3.85
675	1891	4.43	2.91
675	1892	2.43	0.82
675	1893	4.07	2.96
675	1894	5.06	4.01
675	1895	3.80	3.09
675	1896	3.99	3.46
675	1897	3.97	3.47
675	1898	3.71	3.23
675	1899	3.40	2.92
675	1900	3.79	3.30
675	1901	4.43	3.86
675	1902	2.79	2.53
675	1903	3.63	2.86
675	1904	4.22	3.82
675	1905	3.96	3.57
675	1906	3.26	2.70
675	1907	3.01	2.55
675	1908	4.40	4.09
675	1909	4.26	3.52
675	1910	3.67	3.30
675	1911	3.62	3.63
675	1912	4.59	3.63
675	1913	4.28	3.91
675	1914	3.60	3.28
675	1915	3.99	3.29
675	1916	4.78	3.52
675	1917	3.50	2.61
675	1918	3.31	2.77
675	1919	4.34	2.63
675	1920	3.79	3.57
675	1921	4.65	3.33
675	1922	4.45	3.69
675	1923	4.09	3.58
675	1924	4.23	3.98
675	1925	4.83	3.38
675	1926	4.98	4.41
675	1927	5.18	3.93
675	1928	5.28	4.45
675	1929	6.18	4.78
675	1930	4.42	4.05
675	1931	4.35	3.74
675	1932	4.59	4.08
675	1933	5.18	4.90
675	1934	5.20	4.48
675	1935	4.72	4.12
675	1936	4.70	3.93
675	1937	4.71	4.35
675	1938	4.79	4.45
675	1939	5.42	4.77
675	1940	5.28	4.27
675	1941	5.19	4.66
675	1942	5.53	4.27
675	1943	4.75	3.78
675	1944	4.08	3.38
675	1945	5.03	4.90
675	1946	5.78	5.03
675	1947	5.50	4.33
675	1948	5.33	4.31
675	1949	4.48	3.58
675	1950	5.04	4.21
675	1951	4.73	3.75
675	1952	4.47	3.94
675	1953	5.68	4.97
675	1954	5.96	4.28
675	1955	4.74	3.73
675	1956	4.96	4.66
675	1957	5.03	4.26
675	1958	4.93	4.17
675	1959	5.02	4.80
675	1960	5.43	5.03
675	1961	5.39	4.70
675	1962	4.75	3.80
675	1963	4.64	4.03
675	1964	4.73	4.67
675	1965	3.67	3.19
675	1966	4.14	3.35
675	1967	3.52	3.16
675	1968	2.79	2.59
675	1969	3.11	2.57
675	1970	3.81	3.27
675	1971	3.90	3.50
675	1972	4.99	5.11
675	1973	4.04	3.23
675	1974	4.71	4.64
675	1975	4.04	3.63
675	1976	4.31	4.33
675	1977	4.05	3.83
675	1978	4.14	3.87
675	1979	2.69	2.24
675	1980	4.26	3.70
675	1981	2.88	2.80
675	1982	3.88	3.62
675	1983	3.70	3.07
675	1984	5.08	4.59
675	1985	4.22	3.52
675	1987	4.89	4.57
675	1999	5.20	4.06
675	2001	4.81	4.38
