STOD	AR	T
178	1798	2.78
178	1799	2.51
178	1800	3.24
178	1801	2.35
178	1802	2.00
178	1803	3.16
178	1804	4.18
178	1805	3.21
178	1806	3.23
178	1807	1.52
178	1808	1.93
178	1809	2.12
178	1810	1.55
178	1811	1.01
178	1812	0.55
178	1813	2.72
178	1814	3.55
178	1815	3.07
178	1816	2.06
178	1817	2.47
178	1818	3.08
178	1819	3.75
178	1820	3.24
178	1821	3.29
178	1822	3.12
178	1823	2.34
178	1824	2.17
178	1825	2.20
178	1826	2.63
178	1827	2.47
178	1828	4.70
178	1829	4.09
178	1830	3.79
178	1831	3.82
178	1832	2.57
178	1833	3.13
178	1834	3.11
178	1835	2.73
178	1836	1.51
178	1837	2.90
178	1838	3.18
178	1839	2.47
178	1840	3.61
178	1841	2.73
178	1842	4.34
178	1843	2.97
178	1844	3.41
178	1845	3.62
178	1846	4.28
178	1847	4.45
178	1848	2.32
178	1849	3.27
178	1850	3.23
178	1851	4.07
178	1852	4.01
178	1853	3.14
178	1854	3.04
178	1855	2.56
178	1856	4.00
178	1857	3.41
178	1858	3.33
178	1859	0.94
178	1860	2.50
178	1861	3.58
178	1862	2.91
178	1863	1.95
178	1864	3.87
178	1865	2.37
178	1866	0.95
178	1867	2.41
178	1868	2.84
178	1869	1.67
178	1870	3.75
178	1871	3.28
178	1872	3.28
178	1873	2.98
178	1874	1.97
178	1875	3.94
178	1876	3.28
178	1877	2.25
178	1878	2.68
178	1879	3.43
178	1880	3.78
178	1881	1.48
178	1882	1.76
178	1883	3.52
178	1884	3.65
178	1885	2.10
178	1886	2.06
178	1887	2.38
178	1888	2.85
178	1889	3.98
178	1890	3.78
178	1891	3.71
178	1892	1.27
178	1893	3.15
178	1894	3.92
178	1895	3.48
178	1896	3.05
178	1897	3.35
178	1898	3.12
178	1899	2.65
178	1900	3.44
178	1901	3.83
178	1902	2.66
178	1903	2.44
178	1904	3.01
178	1905	3.45
178	1906	2.86
178	1907	2.47
178	1908	4.11
178	1909	3.58
178	1910	2.75
178	1911	3.40
178	1912	3.52
178	1913	3.51
178	1914	2.55
178	1915	3.58
178	1916	3.31
178	1917	2.58
178	1918	2.16
178	1919	2.63
178	1920	3.03
178	1921	2.92
178	1922	3.63
178	1923	3.30
178	1924	3.32
178	1925	3.38
178	1926	3.97
178	1927	4.08
178	1928	4.77
178	1929	4.63
178	1930	3.68
178	1931	3.78
178	1932	4.55
178	1933	5.11
178	1934	4.12
178	1935	4.03
178	1936	3.94
178	1937	4.07
178	1938	4.18
178	1939	5.09
178	1940	3.97
178	1941	5.17
178	1942	4.45
178	1943	3.33
178	1944	3.73
178	1945	4.92
178	1946	5.06
178	1947	4.02
178	1948	4.10
178	1949	3.24
178	1950	3.95
178	1951	3.36
178	1952	3.59
178	1953	4.44
178	1954	3.88
178	1955	3.64
178	1956	4.43
178	1957	4.23
178	1958	3.91
178	1959	4.19
178	1960	4.83
178	1961	4.18
178	1962	3.82
178	1963	3.67
178	1964	4.82
178	1965	3.85
178	1966	3.04
178	1967	2.99
178	1968	3.24
178	1969	2.60
178	1970	3.03
178	1971	3.14
178	1972	4.32
178	1973	3.07
178	1974	4.28
178	1975	3.26
178	1976	4.02
178	1977	3.56
178	1978	3.84
178	1979	2.26
178	1980	3.81
178	1981	2.47
178	1982	3.19
178	1983	2.61
178	1984	3.56
178	1985	3.76
178	1986	3.52
178	1987	4.73
178	1988	3.33
178	1989	3.35
178	1990	3.93
178	1991	4.54
178	1992	3.86
178	1993	3.79
178	1994	3.40
178	1995	2.96
178	1996	4.35
178	1997	4.12
178	1998	3.73
178	1999	3.75
178	2000	4.09
178	2001	4.35
178	2002	4.35
178	2003	5.41
178	2004	4.94
178	2005	4.29
178	2006	4.64
178	2007	4.79
178	2008	4.71
178	2009	4.70
178	2010	5.35
178	2011	4.47
178	2012	4.96
178	2013	4.42
178	2014	5.33
178	2015	4.09
178	2016	5.54
178	2017	4.93
178	2018	4.48
178	2019	4.89
178	2020	4.47
178	2021	4.68
178	2022	4.48
178	2023	4.33
178	2024	3.69
